participant_id;item_no
1;2
1;4
1;5
1;7
1;8
1;11
1;13
1;18
1;23
1;25
1;29
1;36
1;42
1;43
1;48
1;50
1;51
1;53
1;54
1;55
1;57
1;61
1;62
1;64
1;66
1;67
1;70
1;71
1;72
1;74
1;75
1;82
1;85
1;87
1;90
1;93
1;97
1;99
1;102
1;105
1;108
1;110
1;113
1;115
1;116
1;117
1;122
1;124
1;128
1;129
1;130
1;131
1;136
1;140
1;142
1;143
1;144
1;145
1;146
1;150
1;151
1;152
1;156
1;158
1;159
1;160
3;13
3;18
3;23
3;24
3;37
3;38
3;39
3;40
3;48
3;61
3;63
3;64
3;68
3;71
3;73
3;74
3;75
3;76
3;78
3;99
3;104
3;105
3;106
3;108
3;109
3;123
3;124
3;128
3;135
3;139
3;140
3;141
3;142
3;153
3;155
3;156
3;160
4;15
4;16
4;107
4;121
4;137
4;139
4;144
4;149
5;133
6;16
6;17
6;18
6;19
6;21
6;22
6;26
6;30
6;31
6;32
6;42
6;52
6;53
6;64
6;75
6;92
6;99
6;100
6;115
6;120
6;121
6;122
6;127
6;144
6;147
6;151
6;154
6;155
7;6
7;11
7;13
7;31
7;32
7;38
7;45
7;67
9;36
10;12
10;68
10;78
10;140
11;31
12;37
12;63
12;68
12;69
12;100
12;110
12;143
14;9
14;19
14;21
14;31
14;39
14;58
14;60
14;64
14;84
14;104
14;122
14;129
14;130
14;139
14;159
15;35
15;159
18;119
19;15
19;35
19;40
19;43
19;50
19;62
19;64
19;75
19;76
19;87
19;97
19;117
19;140
19;158
21;53
22;141
22;158
23;93
24;16
24;33
24;37
24;41
24;54
24;92
24;113
24;120
24;151
25;34
25;49
25;103
25;141
25;151
25;157
26;21
26;83
26;115
26;117
26;118
26;123
26;151
28;67
29;127
30;23
30;130
31;106
32;44
32;66
33;62
34;67
36;56
37;6
37;70
37;84
37;131
37;146
39;158
40;101
41;91
41;92
42;30
42;32
42;63
42;72
42;131
42;151
43;120
44;8
44;13
44;15
44;18
44;24
44;26
44;28
44;51
44;53
44;54
44;55
44;59
44;64
44;86
44;109
44;110
44;112
44;116
44;129
44;130
44;142
44;157
45;22
45;44
45;112
45;113
46;15
49;3
49;7
49;9
49;16
49;19
49;23
49;34
49;35
49;43
49;51
49;61
49;63
49;71
49;88
49;90
49;95
49;96
49;100
49;102
49;106
49;109
49;116
49;129
49;135
49;145
49;150
49;153
49;159
50;85
51;79
52;24
